Divisions		Files Generated		Time
5772		2		12.103000
5773		2		12.662000
5774		2		12.602000
5775		2		11.914000
5776		2		12.122000
5777		2		11.897000
5778		2		11.800000
5779		2		12.387000
5780		2		11.771000
5781		2		13.545000
5782		2		12.220000
5783		2		12.170000
5784		2		12.365000
5785		2		11.792000
5786		2		11.723000
5787		2		12.731000
5788		2		24.853000
5789		2		16.916000
5790		2		12.075000
5791		2		11.940000
5792		2		11.737000
5793		2		12.053000
5794		2		11.722000
5795		2		11.656000
5796		2		12.109000
5797		2		13.460000
5798		2		12.335000
5799		2		11.992000
5800		2		12.155000
5801		2		12.253000
5802		2		11.833000
5803		2		12.228000
5804		2		11.890000
5805		2		12.901000
5806		2		13.315000
5807		2		12.337000
5808		2		12.279000
5809		2		11.935000
5810		2		11.696000
5811		2		12.327000
5812		2		11.762000
5813		2		12.205000
5814		2		13.015000
5815		2		12.484000
5816		2		12.416000
5817		2		11.882000
5818		2		11.647000
5819		2		12.325000
5820		2		11.977000
5821		2		12.753000
5822		2		12.000000
5823		2		11.786000
5824		2		12.214000
5825		2		11.804000
5826		2		11.777000
5827		2		12.091000
5828		2		11.690000
5829		2		12.170000
5830		2		13.181000
5831		2		12.227000
5832		2		12.476000
5833		2		11.841000
5834		2		12.301000
5835		2		11.938000
5836		2		11.717000
5837		2		12.273000
5838		2		12.168000
5839		2		13.508000
5840		2		12.877000
5841		2		11.943000
5842		2		12.837000
5843		2		11.758000
5844		2		12.483000
5845		2		11.974000
5846		2		12.311000
5847		2		12.920000
5848		2		11.817000
5849		2		12.132000
5850		2		12.673000
5851		2		11.745000
5852		2		12.674000
5853		2		11.799000
5854		2		12.224000
5855		2		13.847000
5856		2		12.217000
5857		2		12.270000
5858		2		11.837000
5859		2		11.669000
5860		2		12.228000
5861		2		11.826000
5862		2		12.054000
5863		2		14.787000
5864		2		12.365000
5865		2		12.265000
5866		2		11.895000
5867		2		12.118000
5868		2		11.772000
5869		2		11.702000
5870		2		12.135000
5871		2		12.941000
5872		2		12.781000
5873		2		12.258000
5874		2		11.781000
5875		2		12.237000
5876		2		11.794000
5877		2		11.755000
5878		2		12.246000
5879		2		12.328000
5880		2		12.555000
5881		2		11.844000
5882		2		11.650000
5883		2		12.140000
5884		2		11.779000
5885		2		11.835000
5886		2		11.915000
5887		2		11.772000
5888		2		13.362000
5889		2		12.791000
5890		2		12.302000
5891		2		11.947000
5892		2		11.634000
5893		2		12.326000
5894		2		11.713000
5895		2		11.611000
5896		2		12.911000
5897		2		12.538000
5898		2		12.552000
5899		2		12.004000
5900		2		11.555000
5901		2		12.149000
5902		2		11.646000
5903		2		11.640000
5904		2		12.224000
5905		2		12.370000
5906		2		12.162000
5907		2		11.655000
5908		2		11.569000
5909		2		12.184000
5910		2		11.751000
5911		2		11.862000
5912		2		11.975000
5913		2		12.894000
5914		2		12.400000
5915		2		12.412000
5916		2		12.413000
5917		2		12.075000
5918		2		11.856000
5919		2		12.230000
